"REGION","2015","2016","2017","2018","2019","2020","2021","region_id"
"ES220",3.301,4.062,3.619,3.631,2.897,3.507,NA,1217
"ES230",4.533,5.756,5.068,5.271,5.128,5.484,NA,1218
"ES241",2.549,3.911,3.092,3.685,2.361,3.882,3.019,1219
"ES242",1.109,1.431,0.607,1.365,1.251,1.837,1.619,1220
"ES243",1.874,2.783,1.853,2.03,1.773,2.912,2.974,1285
"ES417",2.13,2.81,0.998,2.71,3.554,5.294,3,1293
"ES423",2.977,3.811,3.545,2.297,2.241,2.842,3.207,1298
"ES424",1.334,1.093,1.047,1.017,1,1.006,1.671,1299
"ES522",2.118,1.661,1.553,1.333,1.577,2.333,2.294,1347
