"NUTS_ID","NUTS_NAME","region_id","X_count","weight"
"ITC18","Alessandria",770,12.5151329757209,0.00300898041994815
"ITC33","Genova",774,0.0309677408695279,0
"ITC46","Bergamo",780,4.32107306224498,0.00439314550981748
"ITC47","Brescia",781,11.0581137998706,0.00819237762706216
"ITC48","Pavia",782,18.4559444547558,0.00221469767863358
"ITC49","Lodi",783,5.00959926843643,0.00457398602580092
"ITC4A","Cremona",784,15.7702316045761,0.00502934805675762
"ITC4B","Mantova",785,19.2533737123013,0.00250506048219199
"ITC4C","Milano",786,7.2713453117758,0.00323648449793987
"ITC4D","Monza e della Brianza",787,0.565548028796911,0.00988641194916894
"ITH31","Verona",956,10.8792770910077,0.00656482835006233
"ITH32","Vicenza",957,5.89379382658808,0.00183412977791307
"ITH35","Venezia",960,12.4108770489693,0.00296576571141674
"ITH36","Padova",961,11.7235107123852,0.0024648783809274
"ITH37","Rovigo",962,15.5315056741238,0.00106672117781339
"ITH51","Piacenza",967,9.98040822760959,0.00491479814592024
"ITH52","Parma",968,10.8973203876885,0.00878050324319723
"ITH53","Reggio nell’Emilia",969,7.81797593872034,0.00361463541960656
"ITH54","Modena",970,10.0717200845247,0.00508095801216949
"ITH55","Bologna",971,15.7410177903366,0.00393961283682238
"ITH56","Ferrara",972,22.5022153779864,0.0015907079074299
"ITH57","Ravenna",973,8.78480289131403,0.00515443554930799
"ITI11","Massa-Carrara",976,0.0159668276883167,0.0119109954434478
"ES220","Navarra",1217,32.9731330089235,0.339836563164837
"ES230","La Rioja",1218,8.39526288861816,0.260749748621161
"ES241","Huesca",1219,48.3086253209513,0.365151037587792
"ES242","Teruel",1220,35.5808202135377,0.396938149364909
"ES243","Zaragoza",1285,69.9811655115336,0.36115774772845
"ES417","Soria",1293,38.1107130135933,0.255396051874772
"ES423","Cuenca",1298,68.1975214873419,0.545474606005812
"ES424","Guadalajara",1299,32.9306993294913,0.383621835554823
"ES522","Castellón/Castelló",1347,1.30420281736588,0.224864691785562
