"REGION","2017","2018","2019","2020","2021","2022","2023","2024","region_id"
"ITC18",102,NA,NA,NA,NA,NA,NA,NA,770
"ITC33",42,NA,NA,NA,NA,NA,NA,NA,774
"ITC46",94,NA,NA,NA,NA,NA,NA,NA,780
"ITC47",66,NA,NA,NA,NA,NA,NA,NA,781
"ITC48",119,NA,NA,NA,NA,NA,NA,NA,782
"ITC49",103,NA,NA,NA,NA,NA,NA,NA,783
"ITC4A",86,NA,NA,NA,NA,NA,NA,NA,784
"ITC4B",90,NA,NA,NA,NA,NA,NA,NA,785
"ITC4C",116,NA,NA,NA,NA,NA,NA,NA,786
"ITC4D",111,NA,NA,NA,NA,NA,NA,NA,787
"ITH31",106,NA,NA,NA,NA,NA,NA,NA,956
"ITH32",131,NA,NA,NA,NA,NA,NA,NA,957
"ITH35",119,NA,NA,NA,NA,NA,NA,NA,960
"ITH36",110,NA,NA,NA,NA,NA,NA,NA,961
"ITH37",125,NA,NA,NA,NA,NA,NA,NA,962
"ITH51",79,NA,NA,NA,NA,NA,NA,NA,967
"ITH52",74,NA,NA,NA,NA,NA,NA,NA,968
"ITH53",76,NA,NA,NA,NA,NA,NA,NA,969
"ITH54",79,NA,NA,NA,NA,NA,NA,NA,970
"ITH55",77,NA,NA,NA,NA,NA,NA,NA,971
"ITH56",115,NA,NA,NA,NA,NA,NA,NA,972
"ITH57",95,NA,NA,NA,NA,NA,NA,NA,973
"ITI11",79,NA,NA,NA,NA,NA,NA,NA,976
