"REGION","2017","2018","2019","2020","2021","2022","2023","2024","region_id"
"ITC18",226,NA,NA,NA,NA,NA,NA,NA,770
"ITC46",235,NA,NA,NA,NA,NA,NA,NA,780
"ITC47",218,NA,NA,NA,NA,NA,NA,NA,781
"ITC48",247,NA,NA,NA,NA,NA,NA,NA,782
"ITC49",229,NA,NA,NA,NA,NA,NA,NA,783
"ITC4A",214,NA,NA,NA,NA,NA,NA,NA,784
"ITC4B",223,NA,NA,NA,NA,NA,NA,NA,785
"ITC4C",264,NA,NA,NA,NA,NA,NA,NA,786
"ITC4D",251,NA,NA,NA,NA,NA,NA,NA,787
"ITH31",230,NA,NA,NA,NA,NA,NA,NA,956
"ITH32",249,NA,NA,NA,NA,NA,NA,NA,957
"ITH35",224,NA,NA,NA,NA,NA,NA,NA,960
"ITH36",253,NA,NA,NA,NA,NA,NA,NA,961
"ITH37",243,NA,NA,NA,NA,NA,NA,NA,962
"ITH51",213,NA,NA,NA,NA,NA,NA,NA,967
"ITH52",203,NA,NA,NA,NA,NA,NA,NA,968
"ITH53",208,NA,NA,NA,NA,NA,NA,NA,969
"ITH54",235,NA,NA,NA,NA,NA,NA,NA,970
"ITH55",232,NA,NA,NA,NA,NA,NA,NA,971
"ITH56",239,NA,NA,NA,NA,NA,NA,NA,972
"ITH57",216,NA,NA,NA,NA,NA,NA,NA,973
"ITI11",189,NA,NA,NA,NA,NA,NA,NA,976
