"REGION","2017","2018","2019","2020","2021","2022","2023","2024","region_id"
"ITC18",155,NA,NA,NA,NA,NA,NA,NA,770
"ITC46",159,NA,NA,NA,NA,NA,NA,NA,780
"ITC47",145,NA,NA,NA,NA,NA,NA,NA,781
"ITC48",174,NA,NA,NA,NA,NA,NA,NA,782
"ITC49",163,NA,NA,NA,NA,NA,NA,NA,783
"ITC4A",144,NA,NA,NA,NA,NA,NA,NA,784
"ITC4B",153,NA,NA,NA,NA,NA,NA,NA,785
"ITC4C",180,NA,NA,NA,NA,NA,NA,NA,786
"ITC4D",186,NA,NA,NA,NA,NA,NA,NA,787
"ITH31",157,NA,NA,NA,NA,NA,NA,NA,956
"ITH32",185,NA,NA,NA,NA,NA,NA,NA,957
"ITH35",170,NA,NA,NA,NA,NA,NA,NA,960
"ITH36",180,NA,NA,NA,NA,NA,NA,NA,961
"ITH37",173,NA,NA,NA,NA,NA,NA,NA,962
"ITH51",142,NA,NA,NA,NA,NA,NA,NA,967
"ITH52",121,NA,NA,NA,NA,NA,NA,NA,968
"ITH53",121,NA,NA,NA,NA,NA,NA,NA,969
"ITH54",154,NA,NA,NA,NA,NA,NA,NA,970
"ITH55",137,NA,NA,NA,NA,NA,NA,NA,971
"ITH56",154,NA,NA,NA,NA,NA,NA,NA,972
"ITH57",140,NA,NA,NA,NA,NA,NA,NA,973
"ITI11",122,NA,NA,NA,NA,NA,NA,NA,976
