"REGION","2017","2018","2019","2020","2021","2022","2023","2024","region_id"
"ITC18",153,NA,NA,NA,NA,NA,NA,NA,770
"ITC33",154,NA,NA,NA,NA,NA,NA,NA,774
"ITC46",160,NA,NA,NA,NA,NA,NA,NA,780
"ITC47",132,NA,NA,NA,NA,NA,NA,NA,781
"ITC48",175,NA,NA,NA,NA,NA,NA,NA,782
"ITC49",153,NA,NA,NA,NA,NA,NA,NA,783
"ITC4A",143,NA,NA,NA,NA,NA,NA,NA,784
"ITC4B",152,NA,NA,NA,NA,NA,NA,NA,785
"ITC4C",178,NA,NA,NA,NA,NA,NA,NA,786
"ITC4D",179,NA,NA,NA,NA,NA,NA,NA,787
"ITH31",160,NA,NA,NA,NA,NA,NA,NA,956
"ITH32",185,NA,NA,NA,NA,NA,NA,NA,957
"ITH35",176,NA,NA,NA,NA,NA,NA,NA,960
"ITH36",162,NA,NA,NA,NA,NA,NA,NA,961
"ITH37",174,NA,NA,NA,NA,NA,NA,NA,962
"ITH51",140,NA,NA,NA,NA,NA,NA,NA,967
"ITH52",122,NA,NA,NA,NA,NA,NA,NA,968
"ITH53",129,NA,NA,NA,NA,NA,NA,NA,969
"ITH54",144,NA,NA,NA,NA,NA,NA,NA,970
"ITH55",136,NA,NA,NA,NA,NA,NA,NA,971
"ITH56",168,NA,NA,NA,NA,NA,NA,NA,972
"ITH57",148,NA,NA,NA,NA,NA,NA,NA,973
"ITI11",145,NA,NA,NA,NA,NA,NA,NA,976
