"REGION","2017","2018","2019","2020","2021","2022","2023","2024","region_id"
"ITC18",219,NA,NA,NA,NA,NA,NA,NA,770
"ITC33",235,NA,NA,NA,NA,NA,NA,NA,774
"ITC46",241,NA,NA,NA,NA,NA,NA,NA,780
"ITC47",208,NA,NA,NA,NA,NA,NA,NA,781
"ITC48",259,NA,NA,NA,NA,NA,NA,NA,782
"ITC49",206,NA,NA,NA,NA,NA,NA,NA,783
"ITC4A",224,NA,NA,NA,NA,NA,NA,NA,784
"ITC4B",241,NA,NA,NA,NA,NA,NA,NA,785
"ITC4C",261,NA,NA,NA,NA,NA,NA,NA,786
"ITC4D",250,NA,NA,NA,NA,NA,NA,NA,787
"ITH31",235,NA,NA,NA,NA,NA,NA,NA,956
"ITH32",256,NA,NA,NA,NA,NA,NA,NA,957
"ITH35",244,NA,NA,NA,NA,NA,NA,NA,960
"ITH36",242,NA,NA,NA,NA,NA,NA,NA,961
"ITH37",232,NA,NA,NA,NA,NA,NA,NA,962
"ITH51",214,NA,NA,NA,NA,NA,NA,NA,967
"ITH52",193,NA,NA,NA,NA,NA,NA,NA,968
"ITH53",204,NA,NA,NA,NA,NA,NA,NA,969
"ITH54",218,NA,NA,NA,NA,NA,NA,NA,970
"ITH55",225,NA,NA,NA,NA,NA,NA,NA,971
"ITH56",237,NA,NA,NA,NA,NA,NA,NA,972
"ITH57",216,NA,NA,NA,NA,NA,NA,NA,973
"ITI11",272,NA,NA,NA,NA,NA,NA,NA,976
