"REGION","2017","2018","2019","2020","2021","2022","2023","2024","region_id"
"ITC18",101,NA,NA,NA,NA,NA,NA,NA,770
"ITC46",102,NA,NA,NA,NA,NA,NA,NA,780
"ITC47",82,NA,NA,NA,NA,NA,NA,NA,781
"ITC48",122,NA,NA,NA,NA,NA,NA,NA,782
"ITC49",106,NA,NA,NA,NA,NA,NA,NA,783
"ITC4A",90,NA,NA,NA,NA,NA,NA,NA,784
"ITC4B",95,NA,NA,NA,NA,NA,NA,NA,785
"ITC4C",113,NA,NA,NA,NA,NA,NA,NA,786
"ITC4D",133,NA,NA,NA,NA,NA,NA,NA,787
"ITH31",101,NA,NA,NA,NA,NA,NA,NA,956
"ITH32",137,NA,NA,NA,NA,NA,NA,NA,957
"ITH35",126,NA,NA,NA,NA,NA,NA,NA,960
"ITH36",126,NA,NA,NA,NA,NA,NA,NA,961
"ITH37",119,NA,NA,NA,NA,NA,NA,NA,962
"ITH51",92,NA,NA,NA,NA,NA,NA,NA,967
"ITH52",67,NA,NA,NA,NA,NA,NA,NA,968
"ITH53",67,NA,NA,NA,NA,NA,NA,NA,969
"ITH54",96,NA,NA,NA,NA,NA,NA,NA,970
"ITH55",75,NA,NA,NA,NA,NA,NA,NA,971
"ITH56",95,NA,NA,NA,NA,NA,NA,NA,972
"ITH57",82,NA,NA,NA,NA,NA,NA,NA,973
"ITI11",69,NA,NA,NA,NA,NA,NA,NA,976
