"REGION","2015","2016","2017","2018","2019","2020","2021","2022","region_id"
"ITC18",4,5.5,4,3.004,5.88,4,4,3,770
"ITC46",4.89,4.94,4.944,4.443,5.188,5.3,5.7,5.3,780
"ITC47",3.89,5.61,4.591,4.441,4.273,5.016,6.252380952,5.8,781
"ITC48",4.51,5.51,5.69,4.886,5.146,5.218,5.913157895,5.02371134,782
"ITC49",3.21,5.7,6.5,6,5.5,5.5,6,5.5,783
"ITC4A",5.5,5.5,5.7,4.5,4,4.5,7,6.5,784
"ITC4B",6,5.9,6.692,5.498,4.298,4.8,6,5.3,785
"ITC4C",4.75,4.87,4.897,4.806,5.129,5.297,5.7,5.3,786
"ITC4D",4,4,NA,4.806,4.5,4.5,NA,NA,787
"ITH31",5.98,5.31,6.371,5.606,4.541,5.382,6.452369555,5.871588523,956
"ITH32",6.21,5.26,6.52,5.934,4.569,5.744,6.329883571,5.758458647,957
"ITH35",6.91,5.46,6.551,6.22,4.233,5.463,6.699438202,6.546268657,960
"ITH36",6.35,5.68,6.646,5.916,4.496,5.767,6.061538462,5.636326363,961
"ITH37",6.19,5.62,6.636,5.972,4.509,5.823,6.238524084,5.614624506,962
"ITH51",5.88,6.52,5.8,5.005,4.64,4.516,7.015764116,6.25653372,967
"ITH52",5.55,5.6,5.693,5.855,5.2,5.02,7.5,5.099906592,968
"ITH53",5.98,5.5,5.348,5.8,5.901,5.965,7.3,6,969
"ITH54",6.8,6.5,7,6,6,5.9,7,6.3,970
"ITH55",6.83,7.2,7.79,5.402,5.035,5.556,7.014694555,5.656098348,971
"ITH56",6,6.5,6.8,6.3,4.8,6.4,7.1,5.1,972
"ITH57",5.5,6,6.8,5.9,6.2,6.8,7.2,6,973
