"REGION","2017","2018","2019","2020","2021","2022","2023","2024","region_id"
"ES220",253,NA,NA,NA,NA,NA,NA,NA,1217
"ES230",211,NA,NA,NA,NA,NA,NA,NA,1218
"ES241",211,NA,NA,NA,NA,NA,NA,NA,1219
"ES242",206,NA,NA,NA,NA,NA,NA,NA,1220
"ES243",212,NA,NA,NA,NA,NA,NA,NA,1285
"ES417",224,NA,NA,NA,NA,NA,NA,NA,1293
"ES423",230,NA,NA,NA,NA,NA,NA,NA,1298
"ES424",211,NA,NA,NA,NA,NA,NA,NA,1299
"ES522",215,NA,NA,NA,NA,NA,NA,NA,1347
